CPU Name,Brand,Generation,Series,Socket,Cores,Threads,GHz,TDP,Price,Link,Store,Model,Image URL
"AMD Ryzen 5 7600X3D (6C/12T, 4.10 GHz, 96MB Cache, 65W), TRAY",AMD,Zen 4,Ryzen 5,AM5,6,12,4.1,105W,340.0,https://www.dateks.lv/cenas/procesori-amd/1188301-amd-ryzen-5-7600x3d-6c-12t-4-10-ghz-96mb-cache-65w-tray,Dateks,Ryzen 5 7600X3D,https://www.dateks.lv/images/pic/1200/1200/493/1847.jpg
"AMD Ryzen 9 7900 (12C/24T, 3.70 GHz, 64MB Cache, 65W)",AMD,Zen 4,Ryzen 9,AM5,12,24,3.7,65W,350.7,https://www.dateks.lv/cenas/procesori-amd/930545-amd-ryzen-9-7900-12c-24t-3-70-ghz-64mb-cache-65w-,Dateks,Ryzen 9 7900,https://www.dateks.lv/images/pic/1200/1200/708/1357.jpg
"AMD Ryzen 7 9700X (8C/16T, 3.80 GHz, 32MB Cache, 65W)",AMD,Zen 5,Ryzen 7,AM5,8,16,4.5,105W,394.48,https://www.dateks.lv/cenas/procesori-amd/1130471-amd-ryzen-7-9700x-8c-16t-3-80-ghz-32mb-cache-65w-,Dateks,Ryzen 7 9700X,https://www.dateks.lv/images/pic/1200/1200/536/1783.jpg
"AMD Ryzen 7 7800X3D (8C/16T, 4.20 GHz, 96MB Cache, 120W)",AMD,Zen 4,Ryzen 7,AM5,8,16,4.2,120W,439.99,https://www.dateks.lv/cenas/procesori-amd/956486-amd-ryzen-7-7800x3d-8c-16t-4-20-ghz-96mb-cache-120w-,Dateks,Ryzen 7 7800X3D,https://www.dateks.lv/images/pic/1200/1200/877/1415.jpg
"AMD Ryzen 9 9900X (12C/24T, 4.40 GHz, 64MB Cache, 120W)",AMD,Zen 5,Ryzen 9,AM5,12,24,4.4,170W,444.16,https://www.dateks.lv/cenas/procesori-amd/1131477-amd-ryzen-9-9900x-12c-24t-4-40-ghz-64mb-cache-120w-,Dateks,Ryzen 9 9900X,https://www.dateks.lv/images/pic/1200/1200/153/1787.jpg
"AMD Ryzen 9 7950X (16C/32T, 4.50 GHz, 64MB Cache, 170W), TRAY",AMD,Zen 4,Ryzen 9,AM5,16,32,4.5,170W,487.83,https://www.dateks.lv/cenas/procesori-amd/899597-amd-ryzen-9-7950x-16c-32t-4-50-ghz-64mb-cache-170w-tray,Dateks,Ryzen 9 7950X,https://www.dateks.lv/images/pic/1200/1200/422/1300.jpg
"AMD Ryzen 7 9800X3D (8C/16T, 4.70 GHz, 96MB Cache, 120W), TRAY",AMD,Zen 5,Ryzen 7,AM5,8,16,4.7,120W,541.03,https://www.dateks.lv/cenas/procesori-amd/1168626-amd-ryzen-7-9800x3d-8c-16t-4-70-ghz-96mb-cache-120w-tray,Dateks,Ryzen 7 9800X3D,https://www.dateks.lv/images/pic/1200/1200/493/1847.jpg
"AMD Ryzen 7 9800X3D (8C/16T, 4.70 GHz, 96MB Cache, 120W)",AMD,Zen 5,Ryzen 7,AM5,8,16,4.7,120W,587.52,https://www.dateks.lv/cenas/procesori-amd/1158237-amd-ryzen-7-9800x3d-8c-16t-4-70-ghz-96mb-cache-120w-,Dateks,Ryzen 7 9800X3D,https://www.dateks.lv/images/pic/1200/1200/884/1835.jpg
"AMD Ryzen 9 9950X (16C/32T, 4.30 GHz, 64MB Cache, 170W)",AMD,Zen 5,Ryzen 9,AM5,16,32,4.3,170W,664.6,https://www.dateks.lv/cenas/procesori-amd/1131930-amd-ryzen-9-9950x-16c-32t-4-30-ghz-64mb-cache-170w-,Dateks,Ryzen 9 9950X,https://www.dateks.lv/images/pic/1200/1200/153/1787.jpg
"AMD Ryzen 9 7950X3D (16C/32T, 4.20 GHz, 128MB Cache, 120W)",AMD,Zen 4,Ryzen 9,AM5,16,32,4.2,120W,797.24,https://www.dateks.lv/cenas/procesori-amd/944206-amd-ryzen-9-7950x3d-16c-32t-4-20-ghz-128mb-cache-120w-,Dateks,Ryzen 9 7950X3D,https://www.dateks.lv/images/pic/1200/1200/206/1390.jpg
